CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
102,CN,62293,B,5.0,0,,3.00296,1.17427,0.16918,AZUL,909,,,2021
122,CN,82265,C,8.0,0,,2.63278,0.67271,0.32905,AZUL,909,,,2021
125,CN,81640,B,21.0,0,,1.7041,1.93672,0.18178,AZUL,909,,,2021
95,CN,117843,A,27.0,0,,4.13911,0.76309,0.13487,AZUL,909,,,2021
96,CN,63600,B,15.0,0,,2.78598,1.12828,0.24608,AZUL,909,,,2021
100,CN,117898,B,3.0,0,,2.68999,0.6514,0.15907,AZUL,909,,,2021
97,CN,12401,E,19.0,0,,1.83234,0.97623,0.19551,AZUL,909,,,2021
120,CN,111544,A,22.0,0,,2.35776,1.39005,0.14902,AZUL,909,,,2021
126,CN,14944,D,5.0,0,,1.20474,2.12158,0.23447,AZUL,909,,,2021
135,CN,46813,D,18.0,0,,2.76737,1.53283,0.1128,AZUL,909,,,2021
123,CN,85525,D,29.0,0,,0.49099,1.72446,0.02266,AZUL,909,,,2021
128,CN,111546,D,23.0,0,,3.28052,1.65567,0.21068,AZUL,909,,,2021
101,CN,48911,C,25.0,0,,1.98857,1.61387,0.29096,AZUL,909,,,2021
91,CN,117867,E,12.0,0,,2.57831,1.34841,0.19923,AZUL,909,,,2021
119,CN,84331,A,19.0,0,,2.53465,2.4095,0.0954,AZUL,909,,,2021
103,CN,88260,E,7.0,0,,2.12286,1.66345,0.22982,AZUL,909,,,2021
133,CN,88403,D,5.0,0,,2.9738,1.96749,0.12076,AZUL,909,,,2021
110,CN,111623,B,9.0,0,,2.5914,1.40589,0.13998,AZUL,909,,,2021
132,CN,111664,A,13.0,0,,2.45876,0.44934,0.19743,AZUL,909,,,2021
117,CN,98020,B,8.0,0,,1.36007,1.79781,0.13996,AZUL,909,,,2021
121,CN,78726,E,16.0,0,,1.27392,1.76469,0.13413,AZUL,909,,,2021
112,CN,85079,E,11.0,0,,0.92989,-0.72714,0.02105,AZUL,909,,,2021
98,CN,111498,D,14.0,0,,0.7292,3.81485,0.10881,AZUL,909,,,2021
106,CN,117891,C,22.0,0,,0.81733,2.29106,0.15388,AZUL,909,,,2021
93,CN,68355,E,28.0,0,,1.89221,0.64628,0.16333,AZUL,909,,,2021
105,CN,59907,A,20.0,0,,2.3659,2.02542,0.14126,AZUL,909,,,2021
114,CN,19227,B,14.0,0,,2.39928,1.65732,0.14967,AZUL,909,,,2021
108,CN,98108,D,3.0,0,,2.76968,0.71695,0.24269,AZUL,909,,,2021
107,CN,60284,C,6.0,0,,1.89764,1.77374,0.22707,AZUL,909,,,2021
109,CN,89864,C,17.0,0,,2.59028,1.66716,0.26726,AZUL,909,,,2021
116,CN,84502,C,19.0,0,,2.1616,2.43316,0.3388,AZUL,909,,,2021
99,CN,126594,A,9.0,0,,2.7664,0.51395,0.30712,AZUL,909,,,2021
127,CN,97577,C,16.0,0,,1.73579,-0.23373,0.13306,AZUL,909,,,2021
134,CN,117980,C,6.0,0,,1.7383,1.40697,0.1367,AZUL,909,,,2021
94,CN,85781,C,20.0,0,,0.77238,3.24395,0.19069,AZUL,909,,,2021
124,CN,117627,C,2.0,0,,2.28165,0.59099,0.22224,AZUL,909,,,2021
113,CN,66339,E,24.0,0,,3.2481,1.38461,0.17112,AZUL,909,,,2021
131,CN,54959,B,1.0,0,,2.15669,1.23172,0.29573,AZUL,909,,,2021
130,CN,54019,B,24.0,0,,3.87694,1.86924,0.19867,AZUL,909,,,2021
115,CN,111647,B,23.0,0,,2.72669,1.99105,0.20284,AZUL,909,,,2021
129,CN,87718,B,16.0,0,,3.29305,1.87858,0.17777,AZUL,909,,,2021
92,CN,63095,D,1.0,0,,3.01758,1.65693,0.15293,AZUL,909,,,2021
104,CN,117795,B,10.0,0,,3.24877,1.21839,0.09433,AZUL,909,,,2021
